,0
1779,< Grįžti atgal
1780,"Nesi registruotas skaitytojas?
            Registruokis
"
1781,< Grįžti atgal
1782,Esi registruotas skaitytojas? Prisijunk
1783,< Grįžti atgal
1784,=======================================================================
1785,58
1786,=======================================================================
1787,"Šio universiteto mokslininkai atliko tyrimą, per kurį iš viso apklausė 929 mokyklų direktorius ir 2588 mokytojus iš 59 šalies savivaldybių."
1788,"Mokyklų direktorių apklausa atskleidė, kad privalomųjų dalykų mokytojų trūksta 23 proc. šalies mokyklų. Trūksta daugiau kaip 350 privalomų dalykų mokytojų ir 504 pedagoginės pagalbos specialistų."
1789,"Švietimo, mokslo ir sporto ministerija pripažįsta, jog dalis keliamų problemų yra svarbios ir aktualios, tačiau pateikia savo duomenis, kurie rodo kitokią situaciją nei VDU tyrime."
1790,"„Po 3–5 metų, jei nebus imtasi papildomų priemonių, poreikis išaugs 5 kartus“, – teigiama pranešime."
1791,"Be to, beveik 70 proc. Lietuvos mokyklų yra atvejų, kai privalomą dalyką moko ne tos specializacijos pedagogas."
1792,"Iš viso pernai rudenį Lietuvos mokykloms trūko 363 mokytojų dalykininkų, o vidutinis trūkstamai mokytojo vietai tenkantis etato dydis siekė 0,61."
1793,"VDU mokslininkai pagal direktorių apklausą sudarė mokytojų poreikio indeksą. Skalėje, kur vienas reiškia didžiausią, o minus vienas – mažiausią poreikį, ryškiausias pedagogų trūkumas nustatytas Šalčininkų (0,93), Skuodo (0,92), Neringos (0,82), Klaipėdos miesto (0,57) ir rajono (0,51), Elektrėnų (0,52), Ignalinos (0,51), Šiaulių rajono (0,50) savivaldybėse."
1794,"Tyrėjai taip pat atskleidė, kad etatinio darbo apmokėjimo įvedimas mokytojų krūvio neoptimizavo, o priešingai – sujaukė."
1795,"„Tačiau ekspertai pažymi, jog didesnis ar mažesnis trūkumas išreikštas ir kitose šalies vietovėse“, – teigiama pranešime."
1796,"Tyrėjų skaičiavimais, per artimiausius 3–5 metus Lietuvoje labiausiai trūks matematikos (213), fizikos (213), anglų (167), lietuvių (140) ir antrosios užsienio kalbos (96), taip pat pradinio ugdymo (167), chemijos (151), biologijos (103) ir kitų dalykų mokytojų. Iš viso – beveik 2 tūkst. pedagogų."
1797,"Tyrimas taip pat patvirtino, kad Lietuvoje juntamas didelis pedagoginės pagalbos specialistų trūkumas – dabar šalies mokykloms trūksta 202 psichologų, 107 specialiųjų pedagogų, 102 logopedų ir 62 socialinių pedagogų. Pasak VDU, artimiausius penkerius metus poreikis dar labiau augs."
1798,"Mokyklų vadovų ir pedagogų apklausa taip pat patvirtino, kad jų gaunamas vidutinis atlyginimas yra dvigubai mažesnis nei tikimasi ir žemesnis nei visame šalies ūkyje."
1799,"Nepaisant to, kad pedagogų darbo užmokesčiui didinti pastaraisiais metais skirta papildomų lėšų, faktinis „į rankas“ gaunamas atlyginimas yra dar dvigubai mažesnis už ugdytojų lūkesčius: šiuo metu mokytojai gauna vidutiniškai 694,5 euro atlygį, tuo metu, jų pačių nuomone, teisingas atlyginimas už pilną etatą turėtų siekti apie 1305 eurus."
1800,"Statistikos departamento duomenimis, vidutinis atlyginimas bendrojo vidurinio ugdymo viešajame sektoriuje yra žemesnis nei visame šalies ūkyje. Bemaž 70 proc. šalies mokytojų nebesusidaro pilnas krūvis."
1801,"„Tyrėjai taip pat atskleidė, kad etatinio darbo apmokėjimo įvedimas mokytojų krūvio neoptimizavo, o priešingai – sujaukė. Iki jo įvedimo, pilnu etatu dirbo daugiau nei 70 proc. ugdytojų, tuo metu po įvedimo – vos 31 proc.“, – teigiama pranešime."
1802,"Tyrime taip pat konstatuota, kad mokytojų pasiskirstymas pagal lytį yra neproporcingas – moterys sudaro 94 proc. pradiniame ugdyme, 85 proc. – pagrindiniame ir 83 proc. viduriniame ugdyme."
1803,"Remiantis Statistikos departamento informacija, šiuo metu Lietuvoje daugiausiai mokytojų yra 50–59 metų amžiaus – tyrėjai įspėja, jog pedagogai sparčiai sensta, o jaunų ugdytojų mokyklose – per mažai, todėl mokyklos bando „gelbėtis“ sudarydamos sutartis su pensininkais."
1804,"Dirbantys mokytojai, sulaukę 65 metų, sudarė vidutiniškai 6,9 proc. visų bendrojo ugdymo mokyklų mokytojų."
1805,"Pagal tyrimo duomenis, jauniausi pedagogai dirba tose mokyklose, kurios turi viešosios įstaigos arba uždarosios akcinės bendrovės statusą, – jos sudaro 73 proc. visų mokyklų, kuriose mokytojų amžiaus vidurkis yra 40 metų ar mažesnis."
1806,"Tarp jauniausius mokytojus turinčių mokyklų – UAB Karalienės Mortos mokykla, čia amžiaus vidurkis siekia 30,7 metus, viešoji įstaiga „Vilniaus tarptautinė mokykla“, kur pedagogai yra vidutiniškai 37-erių, ir viešoji įstaiga „Šiuolaikinės mokyklos centras“, kur vidurkis yra 38,5 metai."
1807,"EBPO duomenimis, 2017 metais mūsų šalyje 51,5 proc. pedagogų buvo 50 metų ir vyresni, panaši padėtis buvo Estijoje, Graikijoje ir Italijoje. Tačiau kitose valstybėse pasiskirstymas buvo tolygesnis – pavyzdžiui, JAV, D. Britanijoje, Airijoje, Liuksemburge, Prancūzijoje, Izraelyje, Lenkijoje ir kitur vyriausia amžiaus grupė nesudarė daugumos."
1808,"Švietimo, mokslo ir sporto ministerija BNS teigė, jog remiantis Užimtumo tarnybos duomenimis, praėjusių metų antroje pusėje buvo užregistruoti 533 darbo ieškantys mokytojai ir 436 laisvos darbo vietos."
1809,"Didžiausia darbo pasiūla buvo anglų kalbos mokytojams, o tarp darbo ieškančių daugiausiai buvo kūno kultūros ir dailės mokytojų."
1810,"„Vienur mokytojų per daug, kitur juntamas trūkumas“, – teigia ministerija."
1811,"Pasak ministerijos, lyginti mokytojų darbo anksčiau su dabartiniu ir teigti, jog 70 proc. mokytojų dirbo pilnu etatu negalima, nes tokio rodiklio kaip etatas tiesiog nebuvo. Tuo tarpu 2017 metų mokytojų krūvio duomenys rodo, kad 36 valandas per savaitę, kas prilygsta visam etatui, turėjo 8 proc. mokytojų."
1812,"Nepakankami darbo krūviai išties yra problema, nulemianti ir mažesnį darbo užmokestį, menkesnį profesijos patrauklumą."
1813,"2018 metais, įvedus etatinį apmokėjimą, tokių mokytojų, ministerijos duomenimis, jau buvo 24 proc., o pernai pilnu krūviu dirbo 37 proc. mokytojų."
1814,"„Nepakankami darbo krūviai išties yra problema, nulemianti ir mažesnį darbo užmokestį, menkesnį profesijos patrauklumą. Mokyklai sunku rasti mokytoją vos kelioms darbo valandoms per savaitę. Kad ši problema būtų lengviau sprendžiama, valstybė trečius metus finansuoja mokytojų, kurie nori įgyti papildomą kvalifikaciją ir mokyti antro ar trečio dalyko, studijas“, – pastebima pateiktame atsakyme."
1815,Šia galimybe jau pasinaudojo 800 pedagogų.
1816,"Jaunų mokytojų, tuo tarpu, savivaldybės mėgina pritraukti įvairiais skatinimo būdais, tokiais kaip važinėjimo į darbą išlaidų dengimas, aprūpinimas būstu ar stipendijos, kitos lengvatos. Tokias sąlygas taiko trečdalis Lietuvos savivaldybių."
1817,"Ministerija nurodo ir kitokius atlyginimų dydžius: Statistikos departamento duomenimis, vidutinis mokytojo atlyginimas atskaičius mokesčius pernai trečią ketvirtį buvo 928 eurai."
1818,Iš viso Lietuvoje dirba apie 30 tūkst. mokytojų.
1819,"VDU siekia Vilniuje išsaugoti Švietimo akademiją, kuri buvo įkurta 2019 metų pradžioje prie VDU prijungto Lietuvos edukologijos universiteto (LEU) pagrindu."
1820,"VDU dvejus metus ribojo priėmimą į švietimo studijas Vilniuje. Universiteto atstovė Ina Žurkuvienė BNS pirmadienį sakė, kad į dalį ugdymo krypties programų priėmimas atnaujintas."
1821,"VDU motyvuoja, kad Švietimo akademijos Vilniuje uždaryti negalima dėl ypač didelio mokytojų poreikio."
1822, 
1823,"Pirmas mėnesis – tik 0,99 Eur, 
vėliau – 4.99 Eur/mėn."
1824,"59,88 Eur/met."
1825,Jūs gausite:
1826,"
                *Mokant telefonu yra įskaičiuojamas papildomas operatoriaus paslaugos mokestis. Tuo tarpu mokėjimas banko kortele – jums nieko papildomai nekainuos.
            "
1827,"

Turite dovanų kodą?
"
1828,Nurodytos kainos galioja tik fiziniams asmenims.
1829,Prenumeratų pasiūlymai įmonėms ir organizacijoms – prenumerata@15min.lt.
1830,< Grįžti atgal
1831,< Grįžti atgal
1832,< Grįžti atgal
1833,"Nesi registruotas skaitytojas?
            Registruokis
"
1834,< Grįžti atgal
1835,Esi registruotas skaitytojas? Prisijunk
1836,< Grįžti atgal
1837,=======================================================================
1838,59
1839,=======================================================================
1840,"Toks galimai truputį mazochistinis procesas. Arba galimai įžvelgiama prievolė pasiteisinti (tiesą pasakius, taip jaučiausi jau net ne dešimt kartų per šias kelias savaites). Iš kitos pusės, jeigu dabar, šiek tiek atslūgus pirmajam šokui, nepradėsime diskusijų, įžvalgų, šita tema vėl nuslinks į pilkąsias komunikacijos paraštes ir tyliai sau lūkuriuos, kada galės išsiveržti kitu akibrokštu."
1841,"Man atrodo, supratau vieną paradoksalią situaciją – mes visi tikrai gyvename paraleliniuose pasauliuose. Tuo pačiu laiku toje pačioje erdvėje, bet visai kitose dimensijose. Kartais to nesužinome ir ištisus dešimtmečius. O paskui vieną sekmadienį tie paraleliniai pasauliai trumpam susikerta ir nupurto. Nupurto taip, kad išlekiame į atvirą kosmosą ir nebesuprantame, kas, kaip, kodėl, nejaugi taip gali būti iš tikrųjų, o kaip buvo galima nepastebėti ir t.t. Maždaug šitaip, manau, visi jautėmės lygiai prieš dvi savaites. Ir tada reikia laiko, kad suvoktume ir apmąstytume visa, kas atsitiko. Bandome suvokti iki šiol."
1842,"Bet čia tik kalbėjimas metaforomis (nes kitaip labai sunku nusakyti savijautą). Manau, kad tai buvo nuostaba pačia blogiausia to žodžio prasme. Ir dabar norėtųsi panagrinėti šitą problemą nesiejant jos su konkrečiomis personalijomis, neieškant sensacijų, nekaltinant nei vienos mokyklos, nei visos mokytojų (ar dar didesnis nuskambėjęs absurdas – tik profsąjungų) bendruomenės, o bandant suprasti, ką esminio, giluminio galėjo atskleisti toks įvykis. Keliant labai nepatogius klausimus. Klausimus kol kas be atsakymų..."
1843,Pakeisti to įsišaknijusio homo sovieticus (ne)mąstymo senojoje kartoje turbūt jau nebeįmanoma.
1844,"Buvo įrašytas ir paviešintas vienas pokalbis. O kiek jų, neįrašytų, kasdien įvyksta šalyje? O gal kitur neįrašytų ir nepaviešintų todėl, kad laikomų tiesa ir sektina idėja? O kiek jų traktuojamų kaip tylioji rezistencija, kaip savo idealų gynimas? Atrodo absurdas? Prisiminkime metai iš metų į miestų, miestelių Tarybas, Seimą, Europos Parlamentą išrenkamus įvairius titovus ir/ar tomaševskius. Tikrai ne dėl jų kompetencijos, gebėjimų ar prasmingos veiklos. Ne – tik todėl, kad jie ,,savi“. Tokie „savi“, kad visa kita: intelektas, moralė, žinios, veikla atstovaujant neaišku kieno interesams, realaus elgesio ir demagogijos takoskyra ir kt., tampa nebesvarbu. Ir tai ne pavieniai atvejai. Tai dėsningumai. O juk jau užaugo nauja nepriklausomoje valstybėje gimusi rinkėjų karta, kuri turėtų jaustis savo šalies piliečiais, atsakingais už brandžius sprendimus. Todėl visų pirma kyla klausimas – kokie neteisingi žingsniai buvo žengiami tuos 30 metų, kad mūsų šalyje gyvenantys kai kurie kitakalbiai piliečiai skirsto visuomenę į ,,jūs“ ir ,,mes“?"
1845,"Pakeisti to įsišaknijusio homo sovieticus (ne)mąstymo senojoje kartoje turbūt jau nebeįmanoma. Jie tikrai gyvena paraleliniame pasaulyje, kuriame nebuvo ne tik Lietuvoje vykusių trėmimų į Sibirą, partizanų kovos, rezistentų, bet lygiai taip pat ir M.Cvetajevos, O.Mandelštamo, A.Achmatovos, B.Pasternako, A.Solženycino ir daugelio kitų iškilių asmenybių sulaužytų, sutryptų, sunaikintų gyvenimų sovietinėje Rusijoje. Lygiai kaip nebuvo ir V.Putino režimo įkalinto režisieriaus O.Sencovo (kuriam, beje, 2019 m. paskirta Sacharovo premija – štai kaip jungiasi amžiai ir idėjos), žurnalistės A.Politkovskajos nužudymo, aktoriaus P.Ustinovo, kitų, dalyvavusių opozicijos mitinguose, suėmimo, nepriklausomo teatro Театр.doc įkūrėjo, vadovo, režisieriaus M.Ugarovo suėmimo, po to draudimo išvykti iš Rusijos, Maskvos Gogolio centro teatro meno vadovo K.Serebrenikovo arešto, rezonansinės ką tik įvykusios „Tinklo“ („Сеть“) bylos (plačiau apie tai galima sužinoti Nanook ir Rusijos internetinio žurnalo 7X7 bendrame projekte „Kol dega raudona“). Ir tai tik keli iš tūkstančių atvejų, kai drastiškai pažeidžiamos ir garsių kūrėjų, žurnalistų, ir eilinių piliečių teisės. O kartais konfliktai su valdančiaisiais baigiasi mirtimi. Pagal žiniasklaidos laisvės indeksą 2019 metais Rusija užėmė 149 vietą iš 180 šalių: vien nuo 2001 m. buvo nužudyti šeši žurnalistai, dirbę nepriklausomame opoziciniame leidinyje „Новая газета“. Tai čia tik viename dienraštyje! Paradoksalu, kad sąmoningi žmonės Rusijoje kyla į kovą, stengiasi keisti savo šalį, rizikuodami gyvenimais, o čia vis girdime ditirambus diktatūrai ir tuos žmones žalojančiam politiniam dariniui. Kas vyksta su tais, kurie net nebando gilintis, analizuoti, kurie nejaučia pareigos, saugiai gyvendami Lietuvoje, bent moraliai palaikyti tą kol kas Dovydo ir Galijoto kovą, vykstančią pačioje Rusijoje? Kodėl ta kova lieka tokių žmonių informacinėse paraštėse? Ir kodėl net po trisdešimties metų vis dar girdime ,,mes“ ir ,,jūs“?"
1846,"Manau, reikėtų iš esmės nagrinėti susidariusią situaciją, kviesti diskusijoms, o išsigryninus problemas priimti sprendimus, įgalinančius visuomenę keistis. Ar tikrai žalos nedaro galybė Lietuvos komerciniuose kanaluose retransliuojamų Rusijos laidų ir filmų (koks jų turinys, kokie „dvidešimt penktieji“ kadrai užšifruoti?), ar tikrai ugdymo įstaigose yra tik pavienių homo sovieticus požiūrį skleidžiančių mokytojų? O kaip su kitataučių programomis, vadovėliais, jų sudarymo ir leidimo šalimis, užduotimis ir ugdymo turiniu, kaip su kolektyvais ir vadovais? Jau esame girdėję įvairių skandalų apie organizuojamas keistas jaunimo stovyklas su dar keistesnėmis tendencijomis. Bet kažkodėl gyvename tik nuo skandalo iki skandalo. Nesinorėtų nei tokio fragmentiško pliūptelėjimo, nei raganų medžioklės. Reikėtų strateginio, nuoseklaus, sistemingo darbo atlikus tam tikrus tyrimus, prisiėmus atsakomybes įvairiuose lygmenyse. Nes pavieniai atvejai yra tik lėtinės, gerokai įsisenėjusios ligos simptomai."
1847,"Tiesą pasakius, iki šiol net nebuvau susimąsčiusi apie tai, nes atrodė, kad šitų problemų jau seniai nėra (mažiausiai koks dvidešimtmetis). O dabar vis pagalvoju, kad oi kaip yra. Gerai, kad kyla pasipiktinimo banga – ji rodo, jog visiems skauda. Bet jeigu ja nepasinaudosime, kad pradėtume patys analizuoti, o kaip čia viskas iš tikrųjų, ateitis gali būti liūdna. Reikia ieškoti atsakymų, kodėl kelinta karta, gyvenanti toje pačioje šalyje, kurianti bendrą ateitį, skirto piliečius į „jūs“ ir „mes“, nesijaučia bendruomenės dalimi, ilgisi praeities šmėklų ir „ryžtingos / stiprios pono“ rankos. Ir nors turi galimybių pasiekti visą įmanomą informaciją, dažniausiai naudojasi tik propagandine. Gal visgi reikėtų atidžiau žvilgtelti ne į pavienius atvejus, o į sistemą ir jos sudėtines dalis? Visa bėda – ieškoti atsakymų į sudėtingus klausimus, priimti ryžtingus sprendimus užtrunka gerokai ilgiau nei vieną vakarą pasipiktinti išsiveržusiu ugnikalniu. Todėl kviesčiau žmones ne priešiškumui, ne įžeidimams, o konstruktyviai, argumentuotai ir pagarbiai diskusijai – kodėl iki šiol Lietuva kai kuriems nėra „mūsų“ valstybė. Ir ką galėtume padaryti, kad taptų? Gal pradėkime nuo analizės ir diskusijų..."
1848,Lilija Bručkienė yra mokytoja.
1849,"Pirmas mėnesis – tik 0,99 Eur, 
vėliau – 4.99 Eur/mėn."
1850,"59,88 Eur/met."
1851,Jūs gausite:
1852,"
                *Mokant telefonu yra įskaičiuojamas papildomas operatoriaus paslaugos mokestis. Tuo tarpu mokėjimas banko kortele – jums nieko papildomai nekainuos.
            "
1853,"

Turite dovanų kodą?
"
1854,Nurodytos kainos galioja tik fiziniams asmenims.
1855,Prenumeratų pasiūlymai įmonėms ir organizacijoms – prenumerata@15min.lt.
1856,< Grįžti atgal
1857,< Grįžti atgal
1858,< Grįžti atgal
1859,"Nesi registruotas skaitytojas?
            Registruokis
"
1860,< Grįžti atgal
1861,Esi registruotas skaitytojas? Prisijunk
1862,< Grįžti atgal
1863,=======================================================================
1864,60
1865,=======================================================================
1866,"Kritinės pedagogikos ištakos siejamos su brazilų švietėju ir filosofu Paulo Freire, kuris knygoje „Engiamųjų pedagogika“ iškėlė galios ir pedagogikos klausimą. Kritinė pedagogika kviečia visus besimokančius abejoti ir svarstyti, pirmiausiai save patį, savo kontekstą, savo nuomonės patikimumą, o taip pat ir pasaulį, bandant suprasti, kaip randasi skirtingos tiesos ir nuomonės, kas jas veikia ir formuoja bei ką su visu tuo daryti. Tai tampriai susiję su politika, istorija, filosofija, sociologija ir daugeliu kitų pasaulio tvarką analizuojančių sričių, kurių bendroje pynėje sakyti ŽINAU darosi labai sunku, o gal ir nereikia? Kita vertus, sąmoningas ir kritiškai argumentuotas ŽINAU, skamba kitaip, negu išmoktas mintinai."
1867,"Šie kritiniai diskursai kviečia atsigręžti ir iš naujo pažvelgti į, atrodo, visiems taip gerai pažįstamą švietimą ir visuomenę per skirtingus „akinius“. Kviečiu keletą jų pasimatuoti ir svarstyti, kas lemia tai, kaip suprantame pasaulį, kultūrą, visuomenę ir save."
1868,"Švietimas neegzistuoja pats savaime, jis yra priklausomas nuo politinių pažiūrų, dominuojančios laikmečio filosofijos, kultūros ir kitų faktorių, apie kuriuos nepagalvojame, kai mąstome apie švietimo institucijas kaip universalios tiesos ir mokslo šviesos šventyklas."
1869,"Be abejonės, šiek tiek perdedu, bet tarptautinėje erdvėje daug diskutuojama apie švietimo programų (ang. curriculum) subjektyvumą, tad pravartu svarstyti, kokia „švietimo programa“ formuoja mūsų pasaulėjautą, kokie dalykai joje svarbiausi, ar tai iš tiesų svarbiausi dalykai? O gal tik man vienai? O gal ir man pačiai iš tiesų svarbu kažkas kitas, negu mano mokytojams, lyderiams, vadovams, skaitomų knygų autoriams? Kalbant apie mokymo programas, tiek pačia plačiausia, tiek ir siauresne reikšmėmis, svarbu suprasti, kad jose atsispindi tiek teoriniai, tiek ideologiniai pasirinkimai, į kuriuos svarbu žiūrėti kritišku, analitiniu žvilgsniu, juos pripažinti ir savarankiškai permąstyti konstruojant savo supratimą, žinias ir išsilavinimą."
1870,"1974 metais mokslininkai Elliotas Eisneris ir Elisabeth Vallance įžvalgiai išskyrė penkias skirtingas mokymo programų idėjas, dominuojančias pedagoginėse praktikose:"
1871,"1. Švietimas kaip technologija. Siekia paprasto, neproblematiško, veiksmingo mokymo(si) rezultato. Tai tiesiausias kelias, ieškant efektyvių metodų naudingiems įgūdžiams formuoti (angl. how-to);"
1872,"2. Akademinis racionalizmas. Juo grįstas švietimas vadovaujasi įsitikinimu, jog, norint auginti savo žinias ir supratimą, privalu pažinti vertingiausius, svarbiausius žmonijos darbus, klasikinius pavyzdžius, ryškiausius autorius. Per švietimą siekiama išmokti tuos vertingus darbus suprasti, tik gerai įsigilinus galima praktinė veikla;"
1873,"3. Kognityvizmas. Į pažinimo įgūdžius orientuota švietimo programa siekia tobulinti mąstymą. Joje daugiausia dėmesio skiriama intelektiniams besimokančiojo gebėjimams, o mažiau svarbios tampa pačios žinios ir programos turinys;"
1874,"4. Mokymasis kaip savirealizacija. Savirealizacijos svarba grindžiamoje švietimo programoje siekiama atskleisti individo galimybes, tapatybę, sudaryti sąlygas besimokančiajam pačiam pažinti pasaulį ir save. Tai – į mokinį orientuotas švietimas, grįstas praktinėmis veiklomis, kurių tikslas – autentiško individo augimas;"
1875,"5. Socialinė rekonstrukcija. Švietimo programa, paremta socialinės rekonstrukcijos idėja, traktuojanti mokymo įstaigą kaip instituciją, kuri, kartu su kitais, yra atsakinga už svarbiausių visuomenės poreikių tenkinimą. Čia pripažįstamas socialinis sąmoningumas ir atsakomybė už bendrą gerovę."
1876,"Tikriausiai, permąstant savo mokymosi patirtis, nesunku atpažinti vieną, kelias, o gal net visas koncepcijas. Jos retai būna izoliuotos ir įgyvendinamos grynuoju savo pavidalu, dažnai persipina ir veikia kartu. Tai tiktai keletas pavyzdžių, parodančių, jog švietimas nėra vienatinis ir teisingas pats iš savęs. Jame veikia, jį kuria žmonės, žmonės veikia kitus žmones ir taip visi susijungiame, o gal susipančiojame ideologijų, tiesų, žinių ir tikėjimo saitais. Būtent apie juos verta galvoti, atpažinti, kritiškai permąstyti ir taip, tikėtina, geriau suprasti kontekstą, kuriame mokome ir mokomės, žinias, kurias įgyjame, ir vertybes, tikslus bei idėjas, kuriuos galime priimti arba atmesti."
1877,"Kalbėdami apie kultūrą svarstome apie bendravimą, vertybes, papročius, tradicijas, meną ir kitus mūsų bendruomenei svarbius dalykus."
1878,"Viešajame diskurse vyrauja keletas kultūros interpretacijų, pavyzdžiui, kultūra suprantama kaip nacionalinė tapatybė, arba kaip tam tikras siektinas (kultūringas) elgesys, arba kaip kultūrinis gyvenimas, asocijuojamas su menu, koncertais, pasirodymais, renginiais. Kultūra tarsi apibrėžia žmonių veiklą ir mąstymą, dažnai juos suskirstant į tap tikras grupes, pagal žmonių elgesį, gyvenimo būdą, socialines normas."
1879,"Mūsų rasė, religija, politinės pažiūros, gyvenamoji vieta, istorija, šeima, orientacija, lytis, pomėgiai, elgesys ir daugelis kitų mūsų tapatybės aspektų mus priskiria tam tikrai žmonių grupei, su jai būdingu bendravimo būdu, vertybėmis, saviraiškos formomis, t.y. su savo kultūra. Tačiau šiuolaikinio švietimo diskusijoje skatinama susimąstyti, jog gyvendami savo gyvenimą vienu metu priklausome daugeliui skirtingų kultūrų, kurios persipina ir susikerta sudėtingoje žmogaus buvimo plotmėje. Švietimo akademikų plačiai aptariami socialinio teisingumo klausimai, kuriais aiškinamasi, kaip švietime veikia įvairios kultūrinės jėgos, kokiais pavidalais kultūra yra perduodama, kaip ji formuoja besimokančiuosius."
1880,"Filosofas Stiuartas Hallas kelia kultūros ir galios klausimą. Nors dažnai suprantame kultūrą kaip natūraliai susiformavusi fenomeną, norėdami mąstyti kritiškai turėtume stabtelėti ir susimąstyti ar tikrai viskas, kas priskiriama kultūrai, susiformavo natūraliai, ar tikrai viskas yra autentiška ir saugotina mūsų tapatybės dalis? O gal rasime tokių aspektų, kuriuos atpažinsime kaip primestus, dirbtinai įdiegtus, istorijos „atneštus“? Galbūt rasime savo kultūros momentų, kurie mums priklauso, tačiau yra skausmingi, nepatogūs ir todėl nerandantys sau deramos vietos?"
1881,"Tokių atvejų Lietuvos valstybėje toli ieškoti nereikia. Sudėtinga istorija ir daugiakultūrė aplinka kelia daug nepatogių klausimų. Kaip apie juos kalbėti mokyklose? Ar įmanoma apie tai kalbėti objektyviai, paliekant erdvės kritiniam mąstymui ir savo pozicijos formavimui?"
1882,"Švietimas ir kultūra turi nuostabių galių, tačiau ji gali ne tik auginti žmogų, bet ir skaldyti visuomenę. Todėl kultūros fenomeno tyrinėtojai ragina mus būti atsargius ir dėmesingus kai kalbame apie savo ir kitų žmonių kultūrą, kviečia ją suvokti ne tik kaip jau atsineštą, įgimtą ir nekeičiamą žmonių buvimo visumą, bet ir kaip gyvą procesą kuriame veikia savarankiški individai, kurdami ir formuluodami savo prasmes."
1883,"Kritinis mąstymas – nėra lengvas ar patogus. Jam reikia laiko, kantrybės ir tikro noro mokytis. Ne tik mokantis mokykloje, studijuojant universitete ar dalyvaujant konferencijose, bet ir skaitant laikraščius, bendraujant su kaimynais, klausant muzikos, ar balsuojant rinkimuose. Kritiniam mąstymui reikalingi klausimai. Dažnai sunkūs ir nevienareikšmiai klausimai, tačiau bandydami į juos atsakyti esame sąžiningi, atviri ir autentiški, o tai – gera pradžia žengiant kritiško, ir laisvo mąstymo link."
1884,"Jonė Girdzijauskaitė yra Kembridžo universiteto „Meno, kūrybiškumo ir švietimo“ magistro programos studentė, gavusi Mariaus Jakulio Jason grantą studijoms."
1885,"Pirmas mėnesis – tik 0,99 Eur, 
vėliau – 4.99 Eur/mėn."
1886,"59,88 Eur/met."
1887,Jūs gausite:
1888,"
                *Mokant telefonu yra įskaičiuojamas papildomas operatoriaus paslaugos mokestis. Tuo tarpu mokėjimas banko kortele – jums nieko papildomai nekainuos.
            "
1889,"

Turite dovanų kodą?
"
1890,Nurodytos kainos galioja tik fiziniams asmenims.
1891,Prenumeratų pasiūlymai įmonėms ir organizacijoms – prenumerata@15min.lt.
1892,< Grįžti atgal
1893,< Grįžti atgal
1894,< Grįžti atgal
1895,"Nesi registruotas skaitytojas?
            Registruokis
"
1896,< Grįžti atgal
1897,Esi registruotas skaitytojas? Prisijunk
1898,< Grįžti atgal
1899,=======================================================================
1900,61
1901,=======================================================================
1902,Kazlų Rūdos savivaldybės taryba mokyklų tinklo pertvarkos plano projektą registravo vasario 11-ąją. Juo siūloma:
1903,"Planuojama, kad įvykdžius pertvarką pagrindiniame ugdyme neliks jungtinių klasių, taip pat beveik neliks klasių, kuriose – mažiau kaip 8 mokiniai, padaugės pastatų, pritaikytų ikimokykliniam ugdymui, gerės mokymosi rezultatai."
1904,"Jei prie Kazio Griniaus gimnazijos bus prijungtos visos išvardytos švietimo įstaigos, gimnazijos mokinių skaičius išaugs nuo maždaug 200 iki 1000."
1905,"„Pagal moksleivių skaičių, esame viena brangiausių savivaldybių švietime, nes mūsų švietimo tinklo išlaikymas, vieno ugdomo vaiko atveju, yra daugiau negu du kartus didesnis už Lietuvos vidurkį. Kaimiškosiose teritorijose tas skaičius net trimis kartais didesnis už šalies vidurkį“, – klausiamas apie pagrindines pertvarkos priežastis, 15min dėstė Kazlų Rūdos savivaldybės meras Mantas Varaška."
1906,"Dalis miesto mokinių, pasak jo, žinių gilinimui pasirenka kitų savivaldybių mokyklas, esą todėl mokinių skaičius Kazlų Rūdoje mažėja. Taip pat, mero teigimu, prastėja mokinių baigiamųjų egzaminų rezultatai, savivaldybėje nėra „vientiso požiūrio“ į vaiką."
1907,"Turime ne tik brangią, bet ir nekokybišką sistemą."
1908,"„Turime ne tik brangią, bet ir nekokybišką sistemą. O tos nekokybės paslaptis yra labai paprasta – turime bent 10 smarkiai segmentuotų ugdymo įstaigų, – sakė M.Varaška ir nurodė, kaip tai spręs."
1909,"– Mes matome, kad kuo mažesnė savivaldybė, tuo patrauklesnis vadinamasis „nuo-iki“ modelis, kai vaikas toje pačioje įstaigoje, su ta pačia administracija, su tais pačiais mokytojais ugdymosi kelią keliauja nuo pradžios iki pabaigos.“"
1910,"Savivaldybė, anot mero, Kazlų Rūdoje ketina įkurti ilgąją gimnaziją, turinčią vieną vadovą bei jam patariančią direktorių tarybą."
1911,"„Mes esame apsibrėžę [tikslą] eiti vienos didelės ilgosios gimnazijos keliu su direktoratu, tai yra išplėtotu valdymo [modeliu], ne vieno asmens, o trijų–keturių direktoriaus pavaduotojų, kurie sudarytų tokią kaip direktorių tarybą, turinčią patariamą, bet privalomą pasitarti, funkciją generaliniam direktoriui priimant sprendimus tiek etatų struktūros, tiek nuostatų keitimo, tiek pirkimų, investicinio plano rengimo klausimais“, – dėstė M.Varaška."
